cell_id,crime_count_total,crime_burglary,crime_robbery,crime_assault,streetlight_count,bus_count,pred_poisson,pred_nb,pred_rf,pred_llm,pred_gwr,gi_star,kde_intensity,id,gi_z
0,91,11,1,4,0,0,141.6115858519445,91.36275810818272,95.012,251.57236867492242,251.57236867492242,-0.4651706805923367,8.868659305442281e-10,0,
1,30,0,0,3,0,0,141.6115858519445,91.36275810818272,23.022738095238097,176.88431862619757,176.88431862619757,-0.6460756673138961,1.0382195901147647e-09,1,
2,6,1,0,0,0,0,141.6115858519445,91.36275810818272,5.721689349614015,139.52189124706655,139.52189124706655,-0.748514293254429,1.0605089211780396e-09,2,
3,0,0,0,0,0,0,141.6115858519445,91.36275810818272,0.8355824284586731,106.39789165562632,106.39789165562632,-0.7905941801326336,1.0618742320770435e-09,3,
4,20,3,0,1,0,0,141.6115858519445,91.36275810818272,23.29642857142857,64.85264550470615,64.85264550470615,-0.7857569194843761,1.0593947654075414e-09,4,
5,0,0,0,0,0,0,141.6115858519445,91.36275810818272,0.8355824284586731,38.11762830632961,38.11762830632961,-0.785243228088101,1.0539980205832404e-09,5,
6,0,0,0,0,0,0,141.6115858519445,91.36275810818272,0.8355824284586731,23.638727093412797,23.638727093412797,-0.6495858918551095,1.0484750646176648e-09,6,
7,0,0,0,0,0,0,141.6115858519445,91.36275810818272,0.8355824284586731,18.93805186668729,18.93805186668729,-0.6188072156949578,1.041462564989621e-09,7,
8,147,16,11,15,0,1,187.03262230110175,122.42478887999447,267.352,102.51871878902467,102.51871878902467,-0.613755916964919,1.001384404864652e-09,8,
9,0,0,0,0,0,0,141.6115858519445,91.36275810818272,0.8355824284586731,15.469159226178391,15.469159226178391,-0.7139685468549263,7.925755117577752e-10,9,
10,1069,106,22,119,28,0,867.3209052447396,778.7059910092937,1370.48,484.53919720188946,484.53919720188946,-0.1875204809056271,9.413637058588035e-10,10,
11,0,0,0,0,0,0,141.6115858519445,91.36275810818272,0.8355824284586731,185.09182767822801,185.09182767822801,-0.3525438419590137,1.2076241333021716e-09,11,
12,0,0,0,0,0,0,141.6115858519445,91.36275810818272,0.8355824284586731,130.37941335744233,130.37941335744233,-0.5510427590029965,1.27471811425684e-09,12,
13,0,0,0,0,0,0,141.6115858519445,91.36275810818272,0.8355824284586731,159.29530892186114,159.29530892186114,-0.5938503753592577,1.2787357830582698e-09,13,
14,4,0,0,0,0,0,141.6115858519445,91.36275810818272,0.8355824284586731,86.88244700118616,86.88244700118616,-0.7962019778753038,1.278200002406164e-09,14,
15,0,0,0,0,0,0,141.6115858519445,91.36275810818272,0.8355824284586731,78.82178486887074,78.82178486887074,-0.7858425347170886,1.2776134061421595e-09,15,
16,234,17,2,13,5,0,371.45789529687306,285.72593332729303,227.54,47.02073857222284,47.02073857222284,-0.7590021592617129,1.2767226666523802e-09,16,
17,0,0,0,0,0,0,141.6115858519445,91.36275810818272,0.8355824284586731,23.537111443203173,23.537111443203173,-0.6229595544815151,1.275566097298153e-09,17,
18,815,73,15,60,138,3,3516.685301633843,3790.42372713563,888.1,970.2907749572726,970.2907749572726,-0.5743301023008026,1.2645009766703736e-09,18,
19,144,13,0,15,3,0,298.6311174498829,220.74613203231283,186.824,31.110190571338116,31.110190571338116,-0.7139685468549263,1.147678811750476e-09,19,
20,0,0,0,0,0,0,141.6115858519445,91.36275810818272,0.8355824284586731,15.518064443365517,15.518064443365517,-0.748856754185279,7.965554715223177e-10,20,
21,503,13,28,37,9,0,489.0028450860772,395.47972780326677,569.172,407.17164772336474,407.17164772336474,-0.20734040727857606,9.809188171466259e-10,21,
22,1236,83,32,128,96,0,1661.1328479452013,1679.0412968660469,1326.56,1058.8654886485092,1058.8654886485092,-0.1677433621490345,1.3145350815172905e-09,22,
23,977,29,21,170,7,1,572.7588026645606,459.7854404380194,1327.164,564.8217302113113,564.8217302113113,-0.12609155143439246,1.4578641406965709e-09,23,
24,126,10,5,10,0,0,141.6115858519445,91.36275810818272,170.024,161.2723270850886,161.2723270850886,-0.548645532487046,1.472788870600844e-09,24,
25,3,0,0,0,0,0,141.6115858519445,91.36275810818272,0.8355824284586731,88.28382580712002,88.28382580712002,-0.7857997271007324,1.472308995830309e-09,25,
26,0,0,0,0,0,0,141.6115858519445,91.36275810818272,0.8355824284586731,34.92561552909714,34.92561552909714,-0.7955170560136036,1.471419127966617e-09,26,
27,11,0,0,0,0,0,141.6115858519445,91.36275810818272,0.8355824284586731,34.358289761002794,34.358289761002794,-0.7839161919810569,1.4700238963884007e-09,27,
28,19,1,0,1,1,0,205.6444167168567,142.01399742344125,20.912304761904757,27.62828090207713,27.62828090207713,-0.6338754966523618,1.4682818752025724e-09,28,
29,2374,131,50,226,82,2,2373.9070414033768,2417.8712948495295,2510.836,602.5171597307003,602.5171597307003,-0.523089385522358,1.4649602484610263e-09,29,
30,673,43,14,57,123,4,3616.902161207002,3872.987068965963,710.576,946.5137793100364,946.5137793100364,-0.5614450097775681,1.4184309042417908e-09,30,
31,137,6,2,21,13,0,586.0832854381196,489.9068775486117,178.508,82.80087216723504,82.80087216723504,-0.748856754185279,1.1383461856201203e-09,31,
32,0,0,0,0,0,0,141.6115858519445,91.36275810818272,0.8355824284586731,435.6824872828681,435.6824872828681,-0.3971493782022378,7.93645850293443e-10,32,
33,0,0,0,0,0,0,141.6115858519445,91.36275810818272,0.8355824284586731,363.84684216375035,363.84684216375035,-0.4752732780524143,1.0180582515185954e-09,33,
